13114369.152280 7.457E-53 3.806E-01.04000.00014739.52860.660.000000       X1/2  10       X1/2   4                PP  8.5ff     342010 5 2 2 0 1 0    32.0   36.0
13114369.283400 1.037E-59 1.692E-04.04000.00016529.07450.660.000000       X1/2  10       X3/2   4                RQ 14.5ef     232010 5 2 2 0 1 0    60.0   60.0
13114370.341650 2.176E-42 9.068E-02.04000.000 9602.10030.660.000000       X3/2   7       X3/2   2                RR 12.5ee     342010 5 2 2 0 1 0    56.0   52.0
13114370.453410 3.999E-39 2.050E-04.04000.000 6787.17810.660.000000       X3/2   6       X1/2   1                PQ 12.5ef     332010 5 2 2 0 1 0    52.0   52.0
13114370.665260 3.920E-39 2.050E-04.04000.000 6791.27800.660.000000       X3/2   6       X1/2   1                PQ 12.5fe     332010 5 2 2 0 1 0    52.0   52.0
13114372.269490 1.041E-55 6.555E-03.04000.00015339.78990.660.000000       X3/2  10       X3/2   4                QQ 11.5fe     242010 5 2 2 0 1 0    48.0   48.0
13114372.370030 1.681E-42 9.126E-02.04000.000 9641.20610.660.000000       X1/2   7       X1/2   2                RR 11.5ee     342010 5 2 2 0 1 0    52.0   48.0
13114372.907400 1.708E-42 9.132E-02.04000.000 9638.03670.660.000000       X1/2   7       X1/2   2                RR 11.5ff     342010 5 2 2 0 1 0    52.0   48.0
13114372.943650 1.599E-41 1.260E-03.04000.000 8196.86420.660.000000       X1/2   7       X3/2   2                QP  8.5ff     332010 5 2 2 0 1 0    32.0   36.0
13114373.354700 1.071E-59 1.693E-04.04000.00016522.44040.660.000000       X1/2  10       X3/2   4                RQ 14.5fe     232010 5 2 2 0 1 0    60.0   60.0
13114373.871570 1.171E-43 1.063E-04.04000.000 8854.62160.660.000000       X1/2   6       X3/2   1                QP 17.5ee     232010 5 2 2 0 1 0    68.0   72.0
13114373.883670 3.778E-37 1.347E-02.04000.000 6790.40400.660.000000       X3/2   5       X3/2   0                PP 19.5ff     242010 5 2 2 0 1 0    76.0   80.0
13114374.011620 4.484E-40 9.386E-03.04000.000 7924.07200.660.000000       X3/2   7       X3/2   2                QQ  7.5ef     342010 5 2 2 0 1 0    32.0   32.0
13114374.326460 2.954E-54 2.531E-05.04000.00013642.09280.660.000000       X3/2   7       X1/2   1                OP 23.5ff     232010 5 2 2 0 1 0    92.0   96.0
13114375.430960 3.494E-56 2.950E-03.04000.00015382.16410.660.000000       X1/2  10       X1/2   4                QQ 10.5fe     242010 5 2 2 0 1 0    44.0   44.0
13114376.250030 1.620E-41 1.261E-03.04000.000 8194.15680.660.000000       X1/2   7       X3/2   2                QP  8.5ee     332010 5 2 2 0 1 0    32.0   36.0
13114377.508480 4.531E-40 9.393E-03.04000.000 7921.97510.660.000000       X3/2   7       X3/2   2                QQ  7.5fe     342010 5 2 2 0 1 0    32.0   32.0
13114378.564530 4.047E-37 1.348E-02.04000.000 6776.31560.660.000000       X3/2   5       X3/2   0                PP 19.5ee     242010 5 2 2 0 1 0    76.0   80.0
13114378.709040 3.234E-37 1.350E-02.04000.000 6811.69410.660.000000       X1/2   5       X1/2   0                PP 18.5ee     242010 5 2 2 0 1 0    72.0   76.0
13114378.874270 3.533E-56 2.953E-03.04000.00015379.96550.660.000000       X1/2  10       X1/2   4                QQ 10.5ef     242010 5 2 2 0 1 0    44.0   44.0
13114379.293540 1.801E-58 4.829E-04.04000.00016205.89120.660.000000       X1/2   9       X3/2   3                QP 19.5ee     232010 5 2 2 0 1 0    76.0   80.0
13114380.918600 1.697E-39 3.389E-03.08600.000 7155.28100.660.000000       X3/2   7       X1/2   2                PQ  1.5ef     332010 5 2 2 0 1 0     8.0    8.0
13114381.186520 1.699E-39 3.389E-03.08600.000 7155.04110.660.000000       X3/2   7       X1/2   2                PQ  1.5fe     332010 5 2 2 0 1 0     8.0    8.0
13114382.141030 3.394E-37 1.351E-02.04000.000 6801.82010.660.000000       X1/2   5       X1/2   0                PP 18.5ff     242010 5 2 2 0 1 0    72.0   76.0
13114382.389580 1.144E-40 3.525E-03.04000.000 7975.89340.660.000000       X1/2   7       X1/2   2                QQ  6.5fe     342010 5 2 2 0 1 0    28.0   28.0
13114383.261320 1.147E-40 3.525E-03.04000.000 7975.34550.660.000000       X1/2   7       X1/2   2                QQ  6.5ef     342010 5 2 2 0 1 0    28.0   28.0
13114383.391840 8.833E-52 6.144E-05.04000.00012622.76660.660.000000       X1/2   7       X3/2   2                SR 18.5ee     232010 5 2 2 0 1 0    80.0   76.0
13114383.618920 3.619E-50 7.122E-06.04000.00011435.19660.660.000000       X1/2   6       X3/2   1                RQ 21.5ef     232010 5 2 2 0 1 0    88.0   88.0
13114386.273620 9.908E-38 2.014E-01.05300.000 7301.39210.660.000000       X3/2   7       X3/2   2                PP  4.5ff     342010 5 2 2 0 1 0    16.0   20.0
13114386.725180 9.942E-38 2.015E-01.05300.000 7300.69840.660.000000       X3/2   7       X3/2   2                PP  4.5ee     342010 5 2 2 0 1 0    16.0   20.0
13114390.692130 3.907E-50 7.133E-06.04000.00011419.54880.660.000000       X1/2   6       X3/2   1                RQ 21.5fe     232010 5 2 2 0 1 0    88.0   88.0
13114398.911290 1.207E-41 5.285E-05.04000.000 7542.30760.660.000000       X3/2   7       X1/2   2                QR  4.5ee     332010 5 2 2 0 1 0    24.0   20.0
13114399.591930 1.207E-41 5.287E-05.04000.000 7542.33210.660.000000       X3/2   7       X1/2   2                QR  4.5ff     332010 5 2 2 0 1 0    24.0   20.0
13114400.962760 1.597E-36 7.238E-02.04000.000 6760.98050.660.000000       X3/2   6       X3/2   1                PP 13.5ff     242010 5 2 2 0 1 0    52.0   56.0
13114403.651410 1.652E-36 7.240E-02.04000.000 6753.98010.660.000000       X3/2   6       X3/2   1                PP 13.5ee     242010 5 2 2 0 1 0    52.0   56.0
13114405.345040 1.805E-54 2.426E-03.04000.00014463.96610.660.000000       X3/2  10       X1/2   4                PQ  7.5ef     332010 5 2 2 0 1 0    32.0   32.0
13114405.447560 1.798E-54 2.426E-03.04000.00014464.76640.660.000000       X3/2  10       X1/2   4                PQ  7.5fe     332010 5 2 2 0 1 0    32.0   32.0
13114405.741930 3.677E-45 1.705E-04.04000.000 9607.83420.660.000000       X1/2   7       X3/2   2                RQ 12.5ef     332010 5 2 2 0 1 0    52.0   52.0
13114406.234130 5.652E-38 2.224E-01.05300.000 7377.49070.660.000000       X1/2   7       X1/2   2                PP  3.5ee     342010 5 2 2 0 1 0    12.0   16.0
13114406.244620 5.647E-38 2.224E-01.05300.000 7377.67710.660.000000       X1/2   7       X1/2   2                PP  3.5ff     342010 5 2 2 0 1 0    12.0   16.0
13114408.413360 1.278E-36 7.278E-02.04000.000 6791.27800.660.000000       X1/2   6       X1/2   1                PP 12.5ee     342010 5 2 2 0 1 0    48.0   52.0
13114408.843800 3.782E-45 1.706E-04.04000.000 9602.10030.660.000000       X1/2   7       X3/2   2                RQ 12.5fe     332010 5 2 2 0 1 0    52.0   52.0
13114410.156450 1.303E-36 7.276E-02.04000.000 6787.17810.660.000000       X1/2   6       X1/2   1                PP 12.5ff     342010 5 2 2 0 1 0    48.0   52.0
13114413.498660 3.577E-56 2.524E-03.04000.00015344.09640.660.000000       X1/2  10       X3/2   4                QP 11.5ff     232010 5 2 2 0 1 0    44.0   48.0
13114418.469390 4.149E-44 2.813E-06.04000.000 8319.62180.660.000000       X3/2   6       X1/2   1                QR 15.5ee     232010 5 2 2 0 1 0    68.0   64.0
13114419.049870 3.655E-56 2.527E-03.04000.00015339.78990.660.000000       X1/2  10       X3/2   4                QP 11.5ee     232010 5 2 2 0 1 0    44.0   48.0
13114422.972570 1.701E-39 1.274E-02.04000.000 7683.81960.660.000000       X3/2   7       X3/2   2                QQ  6.5ef     342010 5 2 2 0 1 0    28.0   28.0
